Coefficients,Estimate,Std.Error,t.value,p.value,lg neg
f_246,-0.000267609,0.000416783,-0.642080829,0.523940276,0.280718216
f_247,4.23E-05,0.000419028,0.100929816,0.92003551,0.03619541
f_248,-0.000187265,0.000420803,-0.445018492,0.658349242,0.18154366
f_249,-0.000529699,0.000423866,-1.249685997,0.217601636,0.662337844
f_250,0.000276635,0.000428516,0.645564119,0.521701047,0.282578292
f_251,0.000280954,0.000432975,0.648891789,0.519566614,0.284358764
f_252,-0.000425591,0.000434441,-0.979628803,0.33228523,0.478488962
f_253,1.56E-05,0.000438846,0.035443449,0.971876247,0.012389032
f_254,-3.47E-05,0.000442132,-0.078508842,0.9377566,0.02790987
f_255,0.00013879,0.00044472,0.31208416,0.756356924,0.121273213
f_256,0.000665187,0.000446586,1.489494504,0.143037576,0.844549858
f_257,0.00053306,0.000448326,1.18900138,0.240411789,0.619044241
f_258,0.000476066,0.000452713,1.051586387,0.298366189,0.525250393
f_259,-0.00060977,0.000455373,-1.339056292,0.186992813,0.728175086
f_260,0.000375755,0.000463239,0.81114693,0.421370099,0.375336285
f_261,9.72E-05,0.000469055,0.207227709,0.836727276,0.077416073
f_262,-0.000290517,0.000472463,-0.614899764,0.541586697,0.266332012
f_263,-4.93E-05,0.000474526,-0.103981338,0.917626609,0.037334001
f_264,0.000514704,0.00048037,1.07147505,0.289427216,0.538460632
f_265,0.000606816,0.000484585,1.252238879,0.216678495,0.664184189
f_266,-0.000437607,0.000487031,-0.898519061,0.373489103,0.427722065
f_267,0.00075799,0.000490726,1.544628031,0.129143551,0.888927275
f_268,0.000325979,0.000495192,0.658287955,0.513564927,0.289404644
f_269,0.000420408,0.000500387,0.840166015,0.405069084,0.392470903
f_270,-0.000607743,0.000502566,-1.209280279,0.232603228,0.633384263
f_271,-0.00017221,0.00051233,-0.33613145,0.738267819,0.131786062
f_272,0.000151274,0.000514728,0.293891995,0.770134419,0.113433467
f_273,-0.000123151,0.00051884,-0.237358652,0.813410189,0.089690392
f_274,-2.41E-05,0.000523762,-0.045959029,0.96353763,0.01613132
f_275,-4.85E-05,0.00053151,-0.091265695,0.927669349,0.032606793
f_276,-0.000185463,0.000535445,-0.346372709,0.730608533,0.13631526
f_277,-0.000266358,0.000538563,-0.49457261,0.623205819,0.2053685
f_278,-8.00E-05,0.000547126,-0.146206166,0.884383937,0.053359154
f_279,0.000885138,0.000551558,1.604795134,0.115238242,0.938403374
f_280,-0.000393848,0.000552866,-0.712375454,0.479753974,0.318981419
f_281,-0.000508598,0.00056241,-0.904319582,0.37043813,0.431284317
f_282,0.000293227,0.0005685,0.51579103,0.608418369,0.215797683
f_283,-0.00020643,0.000573524,-0.359932809,0.720509761,0.142360131
f_284,-0.001595841,0.000581254,-2.745514447,0.008532889,2.068903911
f_285,-0.000662727,0.00058464,-1.133564778,0.262726338,0.580496388
f_286,0.000544245,0.000587409,0.926518842,0.358909825,0.445014653
f_287,-0.000307938,0.000593595,-0.5187678,0.606356773,0.217271767
f_288,0.000468722,0.000597844,0.784020501,0.436961656,0.359556672
f_289,0.000196743,0.000602872,0.326342367,0.745614093,0.127485892
f_290,-0.000458735,0.000604771,-0.758525535,0.451923564,0.344935014
f_291,-0.001446067,0.000617121,-2.343246222,0.023399409,1.630795109
f_292,-0.00016404,0.000625195,-0.262382033,0.794173583,0.100084563
f_293,-0.000110987,0.000629917,-0.176193674,0.860898792,0.065047902
f_294,0.001726293,0.00063426,2.721742973,0.009079639,2.04193141
f_295,0.000478905,0.000640908,0.747229553,0.458647165,0.338521287
f_296,0.000248579,0.000643465,0.38631354,0.701007856,0.154277115
f_297,0.000654382,0.000647268,1.010989992,0.317197821,0.498669805
f_298,-7.03E-05,0.000652286,-0.107741318,0.914659521,0.038740541
f_299,0.000446217,0.000660048,0.676036691,0.502330547,0.299010411
f_300,6.35E-05,0.000666972,0.095234355,0.92453357,0.034077315
f_301,-0.000595554,0.000672415,-0.88569383,0.380291752,0.419883094
f_302,-0.000651264,0.000677485,-0.961296804,0.341322658,0.466834881
f_303,-0.000517003,0.0006854,-0.754308029,0.454427158,0.342535721
f_304,6.05E-05,0.00069272,0.087272069,0.930826026,0.031131482
f_305,0.001807761,0.000702622,2.572878062,0.013303217,1.876043336
f_306,-0.000404313,0.000709429,-0.56991338,0.571450749,0.243021194
f_307,-0.000244176,0.000719745,-0.339253678,0.735929867,0.133163572
f_308,-0.000179893,0.000724431,-0.248322726,0.804966539,0.094222172
f_309,-0.000460704,0.000733787,-0.627843508,0.533145325,0.273154394
f_310,-9.69E-06,0.000737735,-0.013135245,0.989575492,0.004551069
f_311,0.000659834,0.000752052,0.87737833,0.384744117,0.414828013
f_312,0.00056737,0.000759174,0.747351736,0.458574131,0.338590448
f_313,-2.83E-05,0.000760846,-0.037255844,0.970438806,0.013031845
f_314,0.001136555,0.000778039,1.460794269,0.150725237,0.821814023
f_315,0.000536032,0.000782451,0.685067619,0.496666163,0.303935427
f_316,-0.000826899,0.000787496,-1.050036098,0.29907088,0.524225872
f_317,0.000807459,0.000801181,1.007836507,0.31869362,0.496626631
f_318,5.41E-05,0.000807117,0.066994039,0.946870632,0.023709353
f_319,-0.000117229,0.000808204,-0.145049129,0.885292333,0.052913297
f_320,8.69E-05,0.000826338,0.105168849,0.916689387,0.037777797
f_321,-1.86E-05,0.000830515,-0.022450899,0.982183326,0.007807443
f_322,0.001952176,0.000842122,2.318162532,0.024841734,1.604818085
f_323,-5.58E-05,0.000853809,-0.065329683,0.948188602,0.02310527
f_324,0.001128339,0.000864796,1.304745862,0.198331995,0.702607219
f_325,0.001565714,0.00087479,1.789817367,0.079926993,1.097306527
f_326,-0.000207942,0.000886066,-0.234680071,0.815476466,0.088588568
f_327,0.000736014,0.000892592,0.824580182,0.413775312,0.383235425
f_328,0.000889805,0.00091314,0.974445144,0.33482438,0.475182927
f_329,-0.000774737,0.00092166,-0.840589176,0.404834293,0.392722706
f_330,0.000157914,0.000930278,0.169749092,0.865936015,0.062514197
f_331,0.00084765,0.000953708,0.888794647,0.37863988,0.421773646
f_332,0.001266213,0.000958531,1.320993801,0.192899117,0.71466976
f_333,0.000558666,0.000971422,0.575101203,0.567965934,0.245677712
f_334,0.00044091,0.000979374,0.450195605,0.654639187,0.183998001
f_335,0.001769737,0.000981199,1.803648379,0.077698111,1.109589541
f_336,-4.04E-05,0.001003051,-0.040304856,0.96802081,0.014115306
f_337,0.001461162,0.001010728,1.445652731,0.154910094,0.809920284
f_338,0.000898683,0.001031398,0.87132603,0.3880053,0.411162342
f_339,0.000409396,0.001047217,0.390937533,0.697609983,0.156387313
f_340,-0.000170761,0.001056798,-0.161583097,0.872326787,0.059320791
f_341,-0.000524712,0.001084138,-0.483989409,0.630640978,0.200217813
f_342,-0.002309146,0.001092928,-2.112807494,0.039956733,1.398410032
f_343,0.001252936,0.001109722,1.129054401,0.264604821,0.577402247
f_344,-0.000988284,0.001125871,-0.877795116,0.384520177,0.415080867
f_345,0.002017271,0.001145839,1.76051754,0.084826131,1.071470341
f_346,0.000254177,0.001179888,0.215425125,0.830368013,0.080729389
f_347,0.001364917,0.001191979,1.145084395,0.257971836,0.588427705
f_348,0.000854825,0.001202777,0.710709667,0.480776257,0.318056988
f_349,-0.002028836,0.001210733,-1.675709457,0.100436355,0.998109058
f_350,0.002260547,0.001222169,1.849619394,0.070661947,1.150814402
f_351,0.001123484,0.001227299,0.915411827,0.364648429,0.438125653
f_352,0.001110028,0.00126867,0.874954271,0.386048199,0.413358469
f_353,0.001392772,0.00129488,1.075599804,0.28759689,0.541215814
f_354,-0.002038768,0.001321467,-1.542806242,0.12958472,0.887446206
f_355,0.000475659,0.001339731,0.355040477,0.724147596,0.140172907
f_356,-5.37E-05,0.001348735,-0.039778892,0.9684379,0.013928223
f_357,0.000298642,0.001387084,0.215302236,0.830463263,0.080679575
f_358,0.00295597,0.0014187,2.083576216,0.042662376,1.369954958
f_359,-0.000536533,0.001431699,-0.374752352,0.709530352,0.149029022
f_360,0.000567205,0.001436722,0.39479088,0.694783176,0.158150706
f_361,-0.001849264,0.001468416,-1.259360353,0.214118698,0.669345407
f_362,-0.000266233,0.001520324,-0.175116044,0.86174069,0.0646234
f_363,-0.000952848,0.001534879,-0.620796931,0.537732283,0.26943389
f_364,-0.002168803,0.001562178,-1.38831984,0.171585177,0.765520232
f_365,-0.001540203,0.001569339,-0.981434377,0.331403815,0.479642496
f_366,0.001287745,0.001596358,0.806676525,0.423916149,0.372720039
f_367,0.00218804,0.001606096,1.36233478,0.179585502,0.745728726
f_368,-0.000666447,0.001632142,-0.408326648,0.684888272,0.164380271
f_369,-0.000643563,0.001656638,-0.388475508,0.699418391,0.155262952
f_370,-0.001920648,0.001685918,-1.139229441,0.260380607,0.584391366
f_371,-0.001114134,0.001731051,-0.643616996,0.522952126,0.281538067
f_372,0.001797764,0.001742898,1.031479341,0.307594929,0.512020828
f_373,0.002254014,0.001758684,1.281648322,0.206252883,0.685599971
f_374,-0.00214556,0.001813568,-1.183060053,0.242735262,0.614867129
f_375,-0.001921363,0.001841306,-1.043478734,0.302064233,0.519900696
f_376,-0.001370779,0.001900031,-0.721450548,0.4742062,0.324032772
f_377,0.001407644,0.001926401,0.73071185,0.468582296,0.329214124
f_378,-0.000426606,0.001970178,-0.216531846,0.829510326,0.081178203
f_379,0.001088352,0.002008345,0.541914742,0.590437324,0.228826197
f_380,-0.00091644,0.002080971,-0.440390473,0.661673171,0.179356475
f_381,0.000521998,0.002112966,0.247044927,0.80594941,0.093692219
f_382,0.002851794,0.002138125,1.33378249,0.188702884,0.724221462
f_383,0.001071261,0.002183796,0.490549823,0.62602739,0.203406665
f_384,0.000987389,0.002232453,0.442289029,0.660308755,0.180252944
f_385,0.002424593,0.002286704,1.060300005,0.294426679,0.53102284
f_386,-0.000637437,0.002357246,-0.270416051,0.788024148,0.103460474
f_387,0.00024482,0.002396643,0.102151286,0.919071177,0.036650854
f_388,-0.002270246,0.002434783,-0.932422336,0.355883674,0.448691934
f_389,0.00334793,0.00251045,1.333597244,0.188763167,0.724082744
f_390,0.003874888,0.002592483,1.494662701,0.141686792,0.848670634
f_391,0.002912587,0.00262026,1.111564366,0.271979367,0.565464041
f_392,-0.000525973,0.002656142,-0.198021297,0.843882414,0.073718064
f_393,-0.000185288,0.002712203,-0.068316279,0.945823683,0.024189816
f_394,-0.000887125,0.002791243,-0.317824225,0.752026094,0.12376709
f_395,0.000310141,0.002797081,0.110880123,0.912183554,0.039917762
f_396,0.002182299,0.002950488,0.739640059,0.463196918,0.334234339
f_397,0.001524043,0.002992991,0.509203855,0.612991808,0.212545329
